name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
yerevan,2018-07-01,39.3,20.1,30.8,37.0,20.1,29.6,9.6,31.5,0.0,0,0.0,,0.0,0.0,31.7,27.7,51.8,1007.3,0.2,14.5,380.9,33.0,10,,2018-07-01T05:36:10,2018-07-01T20:35:14,0.6,Clear,Clear conditions throughout the day.,clear-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
yerevan,2018-07-02,41.8,22.0,32.3,39.1,22.0,31.2,11.1,30.4,0.0,0,0.0,,0.0,0.0,51.8,29.0,72.8,1009.9,1.0,14.5,360.8,31.2,10,,2018-07-02T05:36:40,2018-07-02T20:35:06,0.64,Clear,Clear conditions throughout the day.,clear-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
yerevan,2018-07-03,40.0,26.9,33.8,37.1,26.6,32.0,7.2,22.4,0.0,0,0.0,,0.0,0.0,11.2,23.6,81.8,1011.0,0.0,14.5,372.0,32.2,10,,2018-07-03T05:37:11,2018-07-03T20:34:56,0.67,Clear,Clear conditions throughout the day.,clear-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,37699099999,LTCT,37788099999,37792099999,35394699999"
yerevan,2018-07-04,39.9,27.0,33.3,36.5,26.5,31.5,7.0,22.4,0.0,0,0.0,,0.0,0.0,44.6,25.4,72.6,1008.3,0.3,14.5,370.0,31.9,10,,2018-07-04T05:37:43,2018-07-04T20:34:44,0.71,Clear,Clear conditions throughout the day.,clear-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
yerevan,2018-07-05,37.9,26.2,32.0,35.3,26.2,30.5,7.8,24.1,0.0,0,0.0,,0.0,0.0,51.8,32.8,56.5,1003.7,14.2,14.5,359.5,30.9,10,,2018-07-05T05:38:17,2018-07-05T20:34:31,0.74,Clear,Clear conditions throughout the day.,clear-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
yerevan,2018-07-06,38.0,25.8,31.4,35.7,25.8,30.1,9.7,28.0,0.0,0,0.0,,0.0,0.0,50.0,29.2,46.1,1001.6,8.3,14.9,365.5,31.3,10,,2018-07-06T05:38:52,2018-07-06T20:34:15,0.75,Clear,Clear conditions throughout the day.,clear-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
yerevan,2018-07-07,35.9,20.0,27.8,33.9,20.0,27.3,12.5,41.7,0.0,0,0.0,,0.0,0.0,64.8,33.1,30.9,1004.7,7.3,14.5,325.5,27.9,9,,2018-07-07T05:39:28,2018-07-07T20:33:57,0.81,Clear,Clear conditions throughout the day.,clear-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
yerevan,2018-07-08,36.0,18.1,27.7,33.7,18.1,27.0,12.1,41.7,0.0,0,0.0,,0.0,0.0,57.6,27.2,38.7,1007.4,7.8,14.3,354.6,30.5,10,,2018-07-08T05:40:06,2018-07-08T20:33:38,0.84,Clear,Clear conditions throughout the day.,clear-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
yerevan,2018-07-09,38.0,20.0,30.1,35.3,20.0,29.1,10.3,33.2,0.0,0,0.0,,0.0,0.0,,25.4,33.4,1008.9,1.1,14.2,364.4,31.5,10,,2018-07-09T05:40:45,2018-07-09T20:33:16,0.87,Clear,Clear conditions throughout the day.,clear-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
yerevan,2018-07-10,39.9,22.0,31.4,37.4,22.0,30.5,11.5,31.6,0.0,0,0.0,,0.0,0.0,61.2,34.7,28.6,1009.3,0.2,14.5,361.9,31.2,10,,2018-07-10T05:41:25,2018-07-10T20:32:52,0.91,Clear,Clear conditions throughout the day.,clear-day,"37871099999,37717099999,37785099999,17100099999,17100199999,UDYZ,LTCT,37788099999,37792099999,35394699999"
